dataset_id,year,publisher,group_title,frequency_of_update,data_format,language,resource_count
1,2014,消費者庁,行財政,1,HTML,日本語,59
1,2014,消費者庁,行財政,1,PDF,日本語,4
1,2014,消費者庁,行財政,1,PDF,英語,1
2,2014,消費者庁,行財政,1,PDF,日本語,6
2,2014,消費者庁,行財政,1,HTML,日本語,3
3,2014,消費者庁,行財政,1,PDF,日本語,6
4,2014,消費者庁,行財政,1,PDF,日本語,4
5,2014,消費者庁,行財政,0,PDF,日本語,7
6,2014,消費者庁,行財政,0,PDF,日本語,4
7,2014,消費者庁,行財政,0,PDF,日本語,1
8,2014,消費者庁,行財政,0,PDF,日本語,25
8,2014,消費者庁,行財政,0,HTML,日本語,2
9,2014,消費者庁,行財政,0,PDF,日本語,30
9,2014,消費者庁,行財政,0,HTML,日本語,2
10,2014,消費者庁,行財政,0,PDF,日本語,72
10,2014,消費者庁,行財政,0,HTML,日本語,3
11,2014,消費者庁,行財政,0,HTML,日本語,2
11,2014,消費者庁,行財政,0,PDF,日本語,55
12,2014,消費者庁,行財政,1,PDF,日本語,3
12,2014,消費者庁,行財政,1,HTML,日本語,1
13,2014,消費者庁,行財政,1,HTML,日本語,1
13,2014,消費者庁,行財政,1,PDF,日本語,1
14,2014,消費者庁,行財政,4,HTML,日本語,1
14,2014,消費者庁,行財政,4,PDF,日本語,8
15,2014,消費者庁,行財政,4,PDF,日本語,4
15,2014,消費者庁,行財政,4,HTML,日本語,1
16,2014,消費者庁,行財政,4,HTML,日本語,1
16,2014,消費者庁,行財政,4,PDF,日本語,4
17,2014,消費者庁,行財政,1,PDF,日本語,1
18,2014,消費者庁,行財政,4,PDF,日本語,4
18,2014,消費者庁,行財政,4,HTML,日本語,1
19,2014,消費者庁,行財政,4,HTML,日本語,1
19,2014,消費者庁,行財政,4,PDF,日本語,4
20,2014,消費者庁,行財政,4,HTML,日本語,1
20,2014,消費者庁,行財政,4,PDF,日本語,3
21,2014,消費者庁,行財政,4,PDF,日本語,3
21,2014,消費者庁,行財政,4,HTML,日本語,1
22,2014,消費者庁,行財政,4,PDF,日本語,2
22,2014,消費者庁,行財政,4,HTML,日本語,1
23,2014,消費者庁,行財政,4,HTML,日本語,1
23,2014,消費者庁,行財政,4,PDF,日本語,4
24,2014,消費者庁,行財政,4,HTML,日本語,1
24,2014,消費者庁,行財政,4,PDF,日本語,3
25,2014,消費者庁,行財政,4,PDF,日本語,4
25,2014,消費者庁,行財政,4,HTML,日本語,1
26,2014,消費者庁,行財政,4,PDF,日本語,2
26,2014,消費者庁,行財政,4,HTML,日本語,1
